	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0005412	0.00035928	0.000235714	0.000305974	0.030970657
OG0002802	-4.17E-05	0.000233333	0.000116667	0.011851915
OG0014037	0.000214286	0.000232143	0.000220779	0.015291702
OG0014053	0.00021875	0.000230769	0.000224138	0.012247397
OG0010101	0.000142857	0.000230769	0.000185185	0.010752592
OG0017977	-3.33E-05	0.000230769	9.19E-05	0.012351858
OG0000847	0.000427964	0.000230556	0.000330876	0.033357641
OG0000082	0.000613301	0.000229371	0.000463521	0.056307638
OG0002613	3.13E-05	0.000229167	0.000103896	0.005905931
OG0000028	0.000377022	0.00022851	0.000312217	0.03554567
OG0022031	0.000214286	0.000227273	0.00022	0.010479179
OG0012940	0.000142857	0.000227273	0.00018	0.010587388
OG0009319	-0.000121795	0.000226496	1.99E-05	0.020316081
OG0000068	0.000203846	0.000224242	0.000205145	0.017022676
OG0010048	0.000228571	0.000223558	0.000223647	0.023842432
OG0083549	0.000140931	0.000222527	0.000178524	0.032106716
OG0016007	0.000133333	0.000222222	0.000166667	0.009681364
OG0014058	0	0.000222222	7.41E-05	0.01115493
OG0000178	0.000343653	0.000221795	0.000273807	0.021210359
OG0000553	0.000349151	0.000221429	0.00027972	0.012619663
OG0010674	0.000375	0.000220513	0.000294456	0.02960042
OG0001817	2.22E-05	0.000220076	0.000103448	0.008772236
OG0013445	8.82E-05	0.00021978	0.000149621	0.011183237
OG0010310	0.000215861	0.00021875	0.000220115	0.011752332
OG0016965	0.000430556	0.000217647	0.000301006	0.018707561
OG0013191	0.000283422	0.000216667	0.000250411	0.021405497
OG0015994	0.000206579	0.000216667	0.000209524	0.021933818
OG0001666	0.00012549	0.000215909	0.000161408	0.009244048
OG0010322	0.000458333	0.000214502	0.000330268	0.025749333
OG0014400	0.000321429	0.000214286	0.000270238	0.018860533
OG0010374	0.000133333	0.000214286	0.000172414	0.011886014
OG0027872	9.38E-05	0.000214286	0.00015	0.009275163
OG0001073	-7.14E-05	0.000214286	2.38E-05	0.003961098
OG0005182	9.09E-05	0.000213287	0.000145833	0.003202793
OG0009441	0.000831764	0.000211111	0.000437806	0.02881651
OG0010694	0.00021978	0.000210256	0.000214854	0.02202646
OG0005965	0.000233333	0.000208333	0.000222222	0.011201024
OG0014412	0.00021875	0.000208333	0.000214286	0.010602031
OG0010657	0.000214286	0.000208333	0.000211538	0.009958417
OG0014436	0.000136364	0.000208333	0.000173913	0.006437538
OG0001121	3.33E-05	0.000208333	0.000111111	0.0027
OG0013742	0	0.000208333	1.00E-04	0.006199309
OG0019807	0	0.000208333	1.00E-04	0.011913432
OG0001725	0.000111111	0.000204762	0.000171429	0.021244091
OG0008166	0.00011859	0.000201923	0.00015859	0.034542956
OG0000404	6.30E-06	0.00020101	8.47E-05	0.011009375
OG0010752	0.00041453	2.00E-04	0.00028869	0.016146433
OG0016895	0.000266667	2.00E-04	0.000233333	0.009903813
OG0010585	0.000205128	2.00E-04	0.000200337	0.018732919
OG0016882	0.000142857	2.00E-04	0.000166667	0.007827465
OG0012933	0.000138889	2.00E-04	0.000160714	0.01247858
OG0001344	0.000111111	2.00E-04	0.000160714	0.010807591
OG0011042	1.00E-04	2.00E-04	0.00014	0.003529412
OG0001282	0	2.00E-04	8.00E-05	0.011234851
OG0003478	0	2.00E-04	8.70E-05	0.001875
OG0013747	0	2.00E-04	8.00E-05	0.001882353
OG0017980	0	2.00E-04	9.38E-05	0.001891892
OG0000009	0.000315476	0.000199603	0.000247566	0.042376276
OG0008903	-4.83E-05	0.000199301	6.34E-05	0.008655757
OG0001498	0.000115385	0.000198718	0.000160839	0.009906659
OG0000355	0.000304762	0.000198077	0.000237344	0.011134185
OG0000669	0.00017381	0.000195513	0.000184066	0.014577542
OG0010486	0.000171795	0.000195305	0.000176393	0.018096707
OG0013447	0.0001875	0.000192308	0.000189655	0.009745305
OG0000055	0.000185714	0.000192308	0.000188889	0.020002372
OG0014855	5.26E-05	0.000192308	0.000109375	0.009464789
OG0005737	0	0.000192308	8.93E-05	0.002006757
OG0003675	-3.85E-05	0.000192308	7.69E-05	0.0048
OG0008396	0.000116667	0.000190909	0.000139231	0.025209895
OG0012948	0.000277778	0.000190476	0.000203704	0.009089491
OG0005206	9.38E-05	0.000188312	0.000148148	0.011838081
OG0005614	0.000658168	0.000187512	0.000430291	0.046511848
OG0012078	3.00E-04	0.0001875	0.000230769	0.009589325
OG0015981	0.000178571	0.0001875	0.000181818	0.009376914
OG0000109	7.74E-05	0.0001875	0.00011014	0.00454902
OG0006277	0	0.0001875	7.44E-05	0.005076032
OG0010531	0	0.0001875	7.14E-05	0.000970588
OG0000046	0.000223214	0.000184659	0.000198317	0.021593136
OG0000089	0.000317399	0.000183333	0.000240247	0.020197803
OG0000894	0.000140476	0.000183333	0.000159004	0.008637166
OG0002899	0.000133333	0.000183333	0.000158333	0.006933401
OG0001974	7.49E-05	0.000183333	0.000118283	0.002739201
OG0000808	0.000240385	0.00018254	0.000213636	0.007635327
OG0013735	0.000231092	0.000182051	0.000207755	0.020544112
OG0011186	2.00E-04	0.000181818	0.000193548	0.013145647
OG0016852	0.000192308	0.000181818	0.0001875	0.005323944
OG0016879	0.000142857	0.000181818	0.00016	0.011053276
OG0007057	0.000138889	0.000181818	0.000155172	0.012686844
